Location,Dist_Per_100K,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
AK,5526870,3425225,3656176.0,3918368,4029983,5912717
AL,4716121,2707481,2873072.0,3100400,3236810,4991355
AR,5192754,3053550,3244453.0,3488885,3619142,5427420
AS,5150919,4617401,5075072.0,5268816,5193551,5488013
AZ,5107464,3789100,4006981.0,4256413,4367750,6415342
BP2,0,0,0.0,0,0,0
CA,5718367,4222979,4459859.0,4722302,4824204,6536206
CO,5742468,4263651,4481498.0,4736089,4868306,7082981
CT,6242098,4789603,5014304.0,5265786,5381946,7431091
DC,7271655,5649574,5953948.0,6194592,6236365,8546543
DD2,0,0,0.0,0,0,0
DE,6389169,4211468,4438446.0,4704270,4826086,7092278
FL,5351068,3713945,3913709.0,4165151,4288331,6106445
FM,5348787,3802588,4054233.0,4012337,4027589,4579032
GA,5054111,3044756,3231436.0,3476942,3618021,5477800
GU,4295098,4470289,4919379.0,5441615,5630772,6928049
HI,6129870,4691210,4959804.0,5232286,5316687,6965967
IA,5544773,3668958,3885620.0,4158868,4328443,6860843
ID,4962177,3053502,3251767.0,3533491,3726204,5961252
IH2,3681448,2327050,0.0,0,0,0
IL,5641204,4000449,4217966.0,4446185,4566471,6407973
IN,5238457,3140076,3333967.0,3576341,3727894,5968184
KS,5343168,3488918,3697350.0,3963768,4106711,6308143
KY,5086200,3178085,3370197.0,3613824,3759961,5708624
LA,4151203,2832104,3021755.0,3276804,3422502,5326890
MA,6409907,4971245,5194110.0,5400899,5490932,7358265
MD,6888849,4591867,4839219.0,5095250,5189459,7124506
ME,6879145,4960571,5166858.0,5401934,5540158,7923027
MH,3911524,2370504,2578914.0,2748893,2844090,2316021
MI,5521631,3540388,3736795.0,3967771,4116990,6228779
MN,6094026,4284444,4518857.0,4780834,4934563,7451338
MO,4769354,3234575,3418726.0,3656064,3798636,5815192
MP,5450291,4308498,4615364.0,4828623,4985795,5054528
MS,4558314,2736900,2912212.0,3156318,3304148,5184926
MT,4751336,3305332,3489076.0,3721632,3859812,5942658
NC,5386794,3514261,3708255.0,3939609,4069896,6073238
ND,4668558,3254954,3474296.0,3717789,3850089,6102449
NE,5282795,3725516,3968527.0,4255122,4414875,6737850
NH,7007591,4131918,4311238.0,4533723,4643655,6767950
NJ,6216110,4218893,4454813.0,4713635,4824960,6241246
NM,5498986,4269466,4504493.0,4792200,4935164,6808159
NV,4688371,3429006,3639052.0,3911716,4042099,5721615
NY,5889732,4386609,4630068.0,4885375,4993111,6298821
OH,5052802,3407514,3597224.0,3835112,3987416,6147447
OK,4581363,3234567,3447917.0,3742600,3904866,5923462
OR,6256102,4192881,4401622.0,4638785,4751977,6606144
PA,6220373,4056700,4257884.0,4490097,4618980,6672372
PR,5218022,4649657,4820429.0,4974072,4989336,5692456
PW,4599947,4567776,4816120.0,4975824,5160417,5380572
RI,6217436,4752945,4978320.0,5209845,5316559,7384036
SC,5144756,3181400,3359057.0,3597619,3735196,5788521
SD,5695525,3604060,3847854.0,4130486,4286672,6585818
TN,4704708,3131304,3318824.0,3568142,3728237,5829173
TX,5199371,3414244,3646391.0,3906046,4008497,5772683
US,5528719,3845711,4063572.0,4317040,4443124,6328733
UT,4910172,3626370,3896325.0,4228199,4393889,6681447
VA,5862495,4334628,4568758.0,4805895,4907741,6861352
VA2,0,0,0.0,0,0,0
VI,3066989,2767073,2949326.0,3229271,3373152,4259351
VT,7695292,5315292,5511186.0,5694197,5775788,8161611
WA,6235155,4380116,4612298.0,4872470,4990772,7068437
WI,5272159,4031070,4242485.0,4503631,4666916,7315715
WV,5745845,3273093,3444242.0,3685943,3828167,5592535
WY,4151635,2790420,2960639.0,3205279,3360399,5418906
